city,Country,Region,tier,Monthly_Budget_Single_EUR,Monthly_Budget_Single,Internet_Avg_Mbps,Internet_Reliability_Score,Coworking_Availability,Cafe_Work_Culture_Score,Public_Transport_Score,Bike_Friendly_Score,Walkability_Score,Airport,Flight_Connections_Score,Avg_Temp_Winter_C,Winter_Temperature,Avg_Temp_Summer_C,Summer_Temperature,Rainy_Days_Year,Rainfall_Level,Sunshine_Hours_Year,Sunshine_Level,Air_Quality_Score,Expat_Community_Size,Nomad_Community_Score,English_Proficiency_Score,Singles_Vibe_Score,Nightlife_Score,Dating_Scene_Score,Family_Friendly_Score,Healthcare_Quality_Score,Safety_Score,Coffee_Culture_Score,Restaurant_Diversity_Score,Vegan_Friendly_Score,Fitness_Scene_Score,Outdoor_Activities_Score,Cultural_Events_Score,Startup_Scene_Score,Tech_Jobs_Score,Freelancer_Network_Score,Vibe_Tags,Avg_Temp_Spring_C,Avg_Temp_Autumn_C,Coworking_Monthly_EUR,Airbnb_Avg_Monthly_EUR,Rental_Access_Score,Meal_Budget_Daily_EUR,Transport_Monthly_EUR,LGBTQ_Friendliness_Score,Pet_Friendly_Score,Green_Space_Score,Noise_Level_Score,Population,Digital_Nomad_Visa,Visa_Type,Visa_Duration,Visa_Income_Req_EUR,Visa_Score,Schengen
Lisbon,Portugal,Southern Europe,free,1400,Moderate,100-200,Excellent,Abundant,Excellent,Good,Good,Excellent,LIS - Lisbon Portela,Excellent,12,Mild,26,Warm,110,Rainy,2800,Very High Sunshine,Good,Very Large,Excellent,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,"Sunny, Creative, Beach-Adjacent, Startup Hub, Friendly, Historic",17,19,180,1500,Excellent,20,40,Excellent,Good,Good,Medium,505526,Yes,D7/D8 Digital Nomad Visa,2 years,3040,Excellent,Schengen Area
Barcelona,Spain,Southern Europe,free,1600,Moderate,200-400,Excellent,Abundant,Excellent,Excellent,Good,Excellent,BCN - El Prat,Excellent,10,Mild,26,Warm,55,Dry,2640,Very High Sunshine,Good,Very Large,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,"Beach, Cosmopolitan, Nightlife, Design, Mediterranean, Vibrant",17,19,220,1800,Excellent,25,45,Excellent,Good,Good,High,1636762,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Good,Schengen Area
Berlin,Germany,Central Europe,free,1500,Moderate,100-200,Good,Abundant,Good,Excellent,Excellent,Good,BER - Brandenburg,Excellent,1,Cold,23,Mild,106,Rainy,1658,Moderate Sunshine,Average,Very Large,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,"Creative, Alternative, Tech, Nightlife, Liberal, Edgy, Raw",12,12,230,1600,Excellent,22,86,Excellent,Excellent,Excellent,Medium,3677472,No,Freiberufler Visa,1-3 years,4500,Moderate,Schengen Area
Prague,Czech Republic,Central Europe,free,1100,Affordable,80-150,Good,Many,Good,Excellent,Good,Excellent,PRG - Vaclav Havel,Good,0,Cold,22,Mild,90,Moderate,1885,Good Sunshine,Good,Very Large,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,"Historic, Beer Culture, Affordable, Beautiful, Central, Fairy-tale",11,11,170,1300,Excellent,17,25,Good,Excellent,Good,Medium,1357326,Yes,Zivno Trade License,2 years,5350,Good,Schengen Area
Budapest,Hungary,Central Europe,free,1000,Affordable,120-200,Good,Moderate,Good,Good,Good,Good,BUD - Ferenc Liszt,Good,1,Cold,26,Warm,90,Moderate,2047,Good Sunshine,Good,Large,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,"Thermal Baths, Affordable, Ruin Bars, Beautiful, Party, Historic",13,13,140,1000,Excellent,16,30,Moderate,Good,Good,Medium,1752286,Yes,White Card DNV,1 year,2000,Good,Schengen Area
Tallinn,Estonia,Northern Europe,free,1300,Moderate,200-500,Excellent,Moderate,Good,Good,Good,Good,TLL - Lennart Meri,Good,-5,Very Cold,20,Mild,80,Moderate,1900,Good Sunshine,Average,Medium,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Good,Good,Good,"Digital, E-Residency, Medieval, Startup, Clean, Nordic, Tech-forward",7,8,160,1000,Good,18,30,Good,Good,Excellent,Low,437619,Yes,Digital Nomad Visa + e-Residency,1 year,3504,Excellent,Schengen Area
Valencia,Spain,Southern Europe,free,1300,Moderate,150-300,Good,Many,Good,Excellent,Excellent,Excellent,VLC - Valencia,Good,11,Mild,27,Warm,60,Dry,2696,Very High Sunshine,Good,Large,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Good,Average,Good,"Beach, Paella, Family-Friendly, Sunny, Relaxed, Mediterranean, Affordable",17,20,160,1200,Good,18,40,Good,Good,Excellent,Medium,791413,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Good,Schengen Area
Porto,Portugal,Southern Europe,free,1200,Affordable,100-200,Good,Moderate,Excellent,Good,Good,Good,OPO - Francisco Sa Carneiro,Good,10,Mild,24,Warm,120,Very Rainy,2538,High Sunshine,Average,Large,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Good,"Wine, Charming, Authentic, Riverside, Food Scene, Affordable, Relaxed",15,17,150,1200,Good,17,35,Good,Good,Good,Medium,231800,Yes,D7/D8 Digital Nomad Visa,2 years,3040,Excellent,Schengen Area
Athens,Greece,Southern Europe,free,1100,Affordable,50-100,Good,Moderate,Good,Good,Average,Good,ATH - Eleftherios Venizelos,Good,10,Mild,30,Hot,90,Moderate,2771,Very High Sunshine,Average,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Average,Average,Good,"Ancient, Historic, Mediterranean, Affordable, Sunny, Island-Access, Cultural",17,20,150,1100,Good,16,30,Good,Moderate,Moderate,High,664046,Yes,DNV Law 4825/2021,1+1 years,3500,Good,Schengen Area
Krakow,Poland,Central Europe,free,950,Affordable,120-200,Good,Moderate,Good,Good,Good,Excellent,KRK - John Paul II,Good,-2,Cold,22,Mild,100,Rainy,1580,Moderate Sunshine,Average,Large,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Average,Average,Good,"Medieval, Beer, Historic, Affordable, Students, Beautiful, Authentic",10,10,130,900,Good,14,22,Moderate,Good,Good,Medium,794458,No,Business/Temp Residence,1-3 years,0,Moderate,Schengen Area
