city,Country,Region,tier,Tax_Rate_Standard_Pct,Tax_Level,Special_Tax_Rate_Percent,Tax_Score,Tax_Benefits_Premium,Special_Regime_Name,Flat_Tax_Available,Social_Security_Applicable,Tax_Treaty_Countries,Min_Stay_Days_For_Tax_Residency,Employment_Type_Eligibility,Premium_Insights,Last_Updated
Lisbon,Portugal,Southern Europe,premium,28,Moderate,20,Excellent – NHR regime is one of Europe's best,"NHR (Non-Habitual Resident): 0-20% on qualifying foreign income for 10 years. Flat €7,500/year option. Pension income: 10% flat.",NHR – Non-Habitual Resident Regime (now NHR 2.0 targeting tech/science),Yes – NHR regime effectively creates flat rate,"Yes – ~11% employee, 23.75% employer (reduced for self-employed)","UK, USA, Germany, France, Brazil, Canada, China, India + 80 others",183,"Freelancers, remote employees, passive income, pensions","NHR 2.0 (IFICI) now targets tech workers, researchers, startup founders with 20% flat rate. Original NHR closed to new applicants 2024 but grandfathered. 183 days required for tax residency. Best structure: D8 visa + NHR application within first tax year.",2026-02-21
Berlin,Germany,Central Europe,premium,45,High,45,"Poor – high tax, world-class infrastructure tradeoff",Research & development tax credits. Startup equity programs. No special nomad regime.,Standard German Income Tax (no special regime),No,"Yes – ~20% employee total (health, pension, unemployment)","USA, UK, France + 100 others",183,All,"Germany has no special tax regime for nomads/expats. Effective rate ~35-45% depending on income. However world-class infrastructure, social security, and healthcare. Freelancers (Freiberufler) can deduct significant business expenses. Best suited for established high earners who value stability over tax optimization.",2026-02-21
Prague,Czech Republic,Central Europe,premium,23,Low-Moderate,15,Excellent – Zivno lump-sum deduction creates very low effective rate,Sole trader (OSVČ) can deduct 60% of income as lump-sum expenses. Effective tax rate 11-18% for most freelancers.,OSVČ Lump-Sum Expense Deduction (Paušální výdaje),Yes – 15% flat on profit after 60% deduction,Yes – ~29.2% social + ~13.5% health on assessed base (reduced with paušál),"USA, UK, Germany, France + 80 others",183,"Self-employed, freelancers (Zivno visa holders)","Paušální výdaje (lump-sum deduction): declare 60% of gross as expenses automatically without receipts, taxed only on 40% of income. Example: €30k income → taxed on €12k → ~€1,800 income tax. Social/health contributions calculated on minimum base initially. Highly efficient for freelancers.",2026-02-21
Budapest,Hungary,Central Europe,premium,15,Low – flat,15,"Excellent – 15% flat, lowest in EU",15% flat personal income tax – lowest in EU. Small business tax (KATA) for sole traders: flat €230/month covers all tax and contributions.,KATA – Kisadózó Vállalkozások Tételes Adója (flat monthly tax for micro-businesses),Yes – 15% flat / KATA flat monthly,Included in KATA flat monthly payment,"USA, UK, Germany, France + 80 others",183,"Employees (15% flat), sole traders (KATA), companies","KATA regime: ~€230/month flat payment covers all taxes and social contributions for income up to ~€15k/year. Above that, 15% income tax applies. Very predictable and simple. White Card requires not working for Hungarian employers. Combined: low cost + low tax = exceptional net income efficiency.",2026-02-21
Tallinn,Estonia,Northern Europe,premium,20,Moderate,0,Excellent – 0% corporate tax on reinvested profits,0% corporate income tax on undistributed/reinvested profits. 20% only on dividends when distributed. e-Residency enables running EU company from anywhere.,Estonian 0% Corporate Tax on Reinvested Profits,Yes – 20% flat only on distributed profits,Yes – 33% employer social tax (if paying salary),"USA, UK, Germany, Finland + 60 others",183,"Company owners (OÜ), e-residents running Estonian companies","Most unique in Europe: 0% corporate tax as long as profits stay in company. Only taxed when distributed as dividends (20%). e-Residency allows non-residents to run Estonian EU company remotely – pay Estonian tax. Personal income tax 20% flat. Extremely digital: 99% of government services online. Best for: company owners reinvesting profits, those wanting EU company structure.",2026-02-21
Valencia,Spain,Southern Europe,premium,47,High (offset by Beckham Law),24,Good,Beckham Law: 24% flat tax for 6 years.,Régimen Especial de Trabajadores Desplazados,Yes – via Beckham,Yes,"USA, UK, Germany + 90 others",183,Employees of non-Spanish companies,Same Spanish framework. Valencia Comunitat Valenciana has moderate regional income tax additions. Beckham Law same conditions. More relaxed application environment.,2026-02-21
Porto,Portugal,Southern Europe,premium,28,Moderate,20,Excellent – same NHR as Lisbon,NHR / NHR 2.0 (IFICI): 20% flat on qualifying income for 10 years.,NHR – Non-Habitual Resident Regime,Yes – via NHR,"Yes – 11% employee, 23.75% employer (21.4% self-employed)",Same as Lisbon – 80+ treaties,183,"Freelancers, remote employees, passive income",Identical tax framework to Lisbon. Lower cost of living means more of your income stays. NHR 2.0 specifically targets innovation and tech workers.,2026-02-21
Athens,Greece,Southern Europe,premium,44,High (offset by 50% exemption),22,Excellent – 50% income tax exemption for 7 years,50% income tax exemption for new tax residents for 7 years (Law 4172/2013 Art.5C). Alternative: €100k flat annual tax for non-doms.,Article 5C – 50% Tax Exemption for New Residents,Yes – €100k/year flat for non-dom,Yes – ~13.87% employee,"USA, UK, Germany, France + 57 others",183,New tax residents not previously resident in Greece for 5 of last 6 years,50% exemption requires not having been Greek tax resident in 5 of last 6 years + maintaining Greek tax residency 2+ years. Applies to employment and business income. Non-dom €100k flat tax applies to worldwide income regardless of amount – best for very high earners. Both require 183+ days in Greece.,2026-02-21
Krakow,Poland,Central Europe,premium,32,Moderate,12,Good – same Polish Ryczałt framework,Ryczałt lump-sum: 8.5-12% on gross revenue. Same as Warsaw.,Ryczałt od przychodów ewidencjonowanych,Yes – Ryczałt,Yes – ZUS,Same as Warsaw,183,Self-employed sole traders,Same Polish tax framework as Warsaw at lower living cost. Better net income efficiency. IT freelancers particularly well-served.,2026-02-21
Split,Croatia,Southern Europe,premium,30,Low-Moderate,0,Excellent – 0% income tax while on DNV,Full income tax exemption while on Croatian Digital Nomad Visa. DNV holders are not considered Croatian tax residents.,Croatian DNV Tax Exemption,Yes – 0% as DNV holder,No – DNV holders not in Croatian social system,N/A for DNV holders (not tax resident),183,Non-EU citizens on Croatian DNV working for non-Croatian employers,Unique situation: DNV holders pay zero Croatian income tax and are explicitly not treated as tax residents. Continue paying taxes in home country or use existing tax structure. Cannot renew DNV – must exit 6 months before reapplying. Best for: nomads with existing low-tax structures wanting EU Schengen year.,2026-02-21
Sofia,Bulgaria,Eastern Europe,premium,10,Very Low – flat,10,"Excellent – 10% flat, lowest in EU",10% flat personal income tax. 10% corporate tax. EOOD (single-member LLC): simple 10% on profit.,Bulgarian Flat Tax,Yes – flat 10%,Yes – ~24.7% total but on minimum base option for self-employed,"USA, UK, Germany, France + 70 others",183,All employment types,"Flat 10% on everything is Europe's simplest and most competitive rate. Self-employed can declare minimum social security base (€380/month in 2024) keeping social contributions very low. EOOD company formation in 2-3 days, €1 minimum capital. Non-Schengen EU but Schengen accession underway. Best for: tax efficiency seekers in EU.",2026-02-21
Bucharest,Romania,Eastern Europe,premium,10,Very Low,1,Excellent – 1-3% micro-enterprise tax on revenue,Micro-enterprise tax: 1% of gross revenue (under 500k EUR). PFA (sole trader): 10% flat on net profit.,Impozit pe Venitul Microîntreprinderilor (Micro-Enterprise Tax),Yes – 1% on revenue for micro-enterprise,Yes – CAS/CASS ~13.5% + 10% health,"USA, UK, Germany, France + 85 others",183,"Company owners (SRL), PFA sole traders","Micro-enterprise (SRL) paying 1% on revenue up to €500k is exceptionally efficient for service businesses. PFA (sole trader) pays 10% income tax. Social contributions (CAS+CASS) ~€2,500/year capped. Non-Schengen EU but Schengen accession underway. Low cost + low tax = strong nomad value proposition.",2026-02-21
Tbilisi,Georgia,Eastern Europe,premium,20,Low,1,Exceptional – Virtual Zone 0% on foreign income,Virtual Zone company: 0% income tax on IT/tech services delivered outside Georgia. Individual entrepreneur (IE): 1% tax on foreign-sourced income under ~€155k/year.,Virtual Zone Entity + Individual Entrepreneur (IE) Regime,Yes – 1% IE or 0% Virtual Zone,No mandatory social security for non-residents / IE,"Limited – Germany, France, Netherlands, China + ~56 others",183,"IT/tech freelancers (Virtual Zone), all freelancers (IE), remote workers","Most tax-efficient non-EU option in Europe. Virtual Zone: register Georgian company, provide IT services to non-Georgian clients, pay 0% income tax. IE status: 1% tax on income up to 500k GEL (~€155k). Open bank account in 1 day. No social security for non-residents. Visa-free 1 year for most nationalities. Must actually be in Georgia.",2026-02-21
Belgrade,Serbia,Eastern Europe,premium,10,Very Low,10,Excellent – 10% flat + freelancer lump-sum,"10% flat income tax. Paušalno oporezivanje (flat tax for freelancers): fixed quarterly payments based on earnings bracket, often €100-500/quarter total.",Paušalno oporezivanje – Serbian Freelancer Flat Tax,Yes – 10% flat or fixed quarterly paušal,Yes – ~36% total but on minimum base for paušal,"Russia, Germany, France, Netherlands + 50 others",183,"Freelancers, company owners, remote workers",Paušal regime allows freelancers to pay a fixed quarterly amount covering income tax AND social contributions – often €150-400/quarter total depending on income bracket. Extremely simple. 10% corporate tax. Serbia has become a major nomad hub partly due to this tax efficiency. Best for: freelancers wanting predictable ultra-low tax costs.,2026-02-21
Vilnius,Lithuania,Northern Europe,premium,32,Moderate,15,Good – startup and fintech incentives strong,Small partnership (MB): 15% tax on profit (no audit required). Startup visa and sandbox regime for fintech.,Mažoji bendrija (MB) – Small Partnership 15% Tax,Yes – MB 15%,Yes – ~19.5% social,"USA, UK, Germany + 55 others",183,"Self-employed, small business owners, tech workers","MB (small partnership) is a unique Lithuanian structure: simple setup, 15% tax on profits, no audit obligation. Post-Brexit fintech hub with Bank of Lithuania as progressive regulator. Strong blockchain/fintech ecosystem. Best for: fintech founders, self-employed wanting simple low-tax EU structure.",2026-02-21
Riga,Latvia,Northern Europe,premium,31,Moderate,0,Good – 0% corporate on reinvested profits (same as Estonia),Latvia adopted same Estonian-style 0% corporate tax on reinvested profits in 2018.,0% Corporate Tax on Reinvested Profits (Latvian model),Yes – 0% until distribution,Yes – ~35.09% total,"USA, UK, Germany + 60 others",183,"Company owners, self-employed","Latvia copied Estonia's reinvestment model – 0% corporate on retained profits, 20% on distribution. Microenterprise tax available: flat 25% covering all taxes for small businesses. Declining population – government actively encouraging skilled immigration. Good EU Schengen base at lower cost than Tallinn.",2026-02-21
Warsaw,Poland,Central Europe,premium,32,Moderate,12,Good – lump-sum tax option for freelancers,Ryczałt (lump-sum tax): 8.5-12% on gross revenue for IT/software professionals. No expense deductions needed.,Ryczałt od przychodów ewidencjonowanych,Yes – Ryczałt 8.5% for some services,Yes – ZUS contributions ~€300-600/month,"USA, UK, Germany + 80 others",183,"Self-employed sole traders (JDG), especially IT professionals",Ryczałt at 8.5% is excellent for IT/software (12% for higher-value services). No need to track expenses. ZUS social contributions are a significant fixed cost (~€300-500/month) especially in early years. After 2 years ZUS drops to regular rate. Most efficient for IT freelancers earning €3k+/month.,2026-02-21
Copenhagen,Denmark,Northern Europe,premium,55,Very High,32,Poor for nomads – researcher/expat scheme partial relief,Researcher and key employee scheme: 32.84% flat tax for 7 years for qualifying new residents.,Forskerordningen (Researcher/Key Employee Scheme),Yes – 32.84% for qualifying employees,Minimal – Denmark has very low social contributions (included in high income tax),"USA, UK, Germany + 80 others",183,Employees earning minimum ~€75k/year via Danish employer,"Forskerordningen requires: Danish employer, minimum salary ~€75k/year, not previously Danish tax resident. 32.84% flat for 7 years is very attractive vs standard 55%. Not available for self-employed/freelancers. Best for: high-earning employees with Danish company offer.",2026-02-21
Stockholm,Sweden,Northern Europe,premium,52,Very High,25,Poor for nomads – expert tax relief partial,Expertskatt (Expert Tax Relief): 25% of salary tax-free for 5 years for qualifying experts.,Expertskatt – Swedish Expert Tax Relief,No – partial exemption only,Yes – ~31% employer contributions,"USA, UK, Germany + 85 others",183,Employees earning 2x Swedish average (~€80k+) via Swedish employer,"Expertskatt: 25% of gross salary exempt from Swedish tax for 5 years. Requires Swedish employer, high salary, and application within 3 months of arrival. Effective rate ~38% vs standard 52%. Not for freelancers. Best for: high-earning tech workers with Swedish employer offer.",2026-02-21
Edinburgh,Scotland,Western Europe,premium,45,High,45,"Poor for nomads – high tax, no special regime",EIS/SEIS startup investment relief. No special nomad/expat regime.,Standard UK Income Tax (Scottish rates slightly higher),No,Yes – NI ~8% employee,"USA, Germany, France + 130 others",183,All,"Scotland sets its own income tax rates – slightly higher than rest of UK at top bands. No special expat/nomad regime post-Brexit. Non-Schengen Non-EU. UK Statutory Residence Test (SRT) for determining tax residency is complex. Best for: UK citizens, employed workers with UK employer offer.",2026-02-21
