city,data_type,tier,1BR_Center_Cost,1BR_Center_EUR,1BR_Outside_Cost,1BR_Outside_EUR,2BR_Center_Cost,2BR_Center_EUR,2BR_Outside_Cost,2BR_Outside_EUR,3BR_Center_Cost,3BR_Center_EUR,3BR_Outside_Cost,3BR_Outside_EUR,Air_Quality_Score,Airport_International,Avg_Temp_Summer_C,Avg_Temp_Winter_C,Bike_Friendly_Score,Bureaucracy_Ease_Score,Cafe_Work_Culture_Score,City,Coffee_Culture_Score,Country,Coworking_Availability,Cultural_Events_Score,Dating_Scene_Score,Digital_Nomad_Visa,English_Proficiency_Score,Expat_Community_Size,Family_Friendly_Score,Fitness_Scene_Score,Flight_Connections_Score,Freelancer_Network_Score,Healthcare_Cost_Score,Healthcare_Quality_Score,International_Schools_Availability,International_Schools_Count,Internet_Avg_Mbps,Internet_Reliability_Score,Monthly_Budget_Family,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Monthly_Budget_Single_EUR,Nightlife_Score,Nomad_Community_Score,Outdoor_Activities_Score,Playground_Parks_Score,Population_Density,Premium_Insights,Public_Transport_Score,Rainfall_Level,Rainy_Days_Year,Region,Restaurant_Diversity_Score,Safety_Score,Singles_Vibe_Score,Startup_Scene_Score,Studio_Center_Cost,Studio_Center_EUR,Studio_Outside_Cost,Studio_Outside_EUR,Summer_Temperature,Sunshine_Hours_Year,Sunshine_Level,Tax_Benefits_Premium,Tax_Level,Tax_Rate_Standard_Pct,Tech_Jobs_Score,Vegan_Friendly_Score,Vibe_Tags,Visa_Duration,Visa_Type_Details,Walkability_Score,Winter_Temperature
Lisbon,General,free,Moderate,900,Moderate,650,Moderate,1400,Moderate,1000,Moderate,1800,Moderate,1300,Good,LIS - Lisbon Portela,26,12,Good,,Excellent,Lisbon,Excellent,Portugal,Abundant,Excellent,Excellent,,Good,Very Large,Good,Good,Excellent,Excellent,Good,Good,Many,25,100-200,Excellent,Moderate,2800,Moderate,1400,Good,Excellent,Good,Good,Medium-High,,Good,Rainy,110,Southern Europe,Excellent,Good,Excellent,Good,Moderate,750,Moderate,550,Warm,2800,Very High Sunshine,,,,Good,Good,"Sunny, Creative, Beach-Adjacent, Startup Hub, Friendly, Historic",,,Excellent,Mild
Lisbon,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: NHR status gives huge breaks | Community: Largest nomad hub | Visa: D7 passive income €760/mo, D8 remote work | Cowork: SecondHome, Selina | Events: WebSummit annual | Best for: Solo entrepreneurs, lifestyle balance",,,,,,,,,,,,,,,,NHR regime (0-20% for specific income),Moderate Tax,28,,,,Long-term (2 years),D7/D8 Visa,,
Lisbon,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHR regime (0-20% for specific income),Moderate Tax,28,,,,,,,
Barcelona,General,free,Expensive,1100,Expensive,800,Expensive,1700,Expensive,1200,Expensive,2200,Expensive,1600,Good,BCN - El Prat,26,10,Good,,Excellent,Barcelona,Excellent,Spain,Abundant,Excellent,Excellent,,Good,Very Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,35,200-400,Excellent,Moderate,3200,Moderate,1600,Excellent,Excellent,Excellent,Good,Very High,,Excellent,Dry,55,Southern Europe,Excellent,Good,Excellent,Excellent,Expensive,900,Moderate,650,Warm,2640,Very High Sunshine,,,,Good,Excellent,"Beach, Cosmopolitan, Nightlife, Design, Mediterranean, Vibrant",,,Excellent,Mild
Barcelona,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Beckham law for new residents | Community: Huge expat scene | Visa: New DN visa €2000+/mo income | Cowork: Betahaus, MOB | Cons: Pickpockets, crowds | Best for: Social butterflies, beach lovers",,,,,,,,,,,,,,,,Beckham Law (24% flat for new residents),Moderate Tax,24,,,,Short-term (1 year),Non-Lucrative Visa / Digital Nomad,,
Barcelona,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beckham Law (24% flat for new residents),Moderate Tax,24,,,,,,,
Berlin,General,free,Moderate,1000,Moderate,750,Expensive,1550,Expensive,1150,Expensive,2000,Expensive,1500,Average,BER - Brandenburg,23,1,Excellent,,Good,Berlin,Excellent,Germany,Abundant,Excellent,Excellent,,Excellent,Very Large,Average,Good,Excellent,Excellent,Excellent,Excellent,Abundant,40,100-200,Good,Moderate,3000,Moderate,1500,Excellent,Excellent,Good,Average,Very High,,Excellent,Rainy,106,Central Europe,Excellent,Good,Excellent,Excellent,Moderate,800,Moderate,600,Mild,1658,Moderate Sunshine,,,,Excellent,Excellent,"Creative, Alternative, Tech, Nightlife, Liberal, Edgy, Raw",,,Good,Cold
Berlin,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: Freelancers get Künstlersozialkasse benefits | Visa: Freiberufler for creatives/IT | Community: Massive startup scene | Cowork: Factory, Betahaus | Culture: Best club scene in Europe | Best for: Creatives, tech workers, night owls",,,,,,,,,,,,,,,,Freelancer (Freiberufler) friendly tax,Very High Tax,42,,,,Long-term (3 years),Freelance Visa (Freiberufler),,
Berlin,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freelancer (Freiberufler) friendly tax,Very High Tax,42,,,,,,,
Prague,General,free,Moderate,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Good,PRG - Vaclav Havel,22,0,Good,,Good,Prague,Good,Czech Republic,Many,Good,Good,,Good,Very Large,Good,Good,Good,Excellent,Excellent,Good,Many,30,80-150,Good,Affordable,2400,Affordable,1100,Good,Excellent,Good,Good,High,,Excellent,Moderate,90,Central Europe,Good,Excellent,Good,Good,Moderate,650,Affordable,450,Mild,1885,Good Sunshine,,,,Good,Good,"Historic, Beer Culture, Affordable, Beautiful, Central, Fairy-tale",,,Excellent,Cold
Prague,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Zivno license easy for freelancers | Visa: Zivno widely used by nomads | Cost: Very affordable for quality | Beer: Cheapest in Europe | Healthcare: Good and cheap | Best for: History lovers, budget conscious, central Europe base",,,,,,,,,,,,,,,,Low corporate tax (19% sole trader),Low Tax,15,,,,Long-term (3 years),Zivno (Trade License),,
Prague,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low corporate tax (19% sole trader),Low Tax,15,,,,,,,
