city,data_type,tier,1BR_Center_Cost,1BR_Center_EUR,1BR_Outside_Cost,1BR_Outside_EUR,2BR_Center_Cost,2BR_Center_EUR,2BR_Outside_Cost,2BR_Outside_EUR,3BR_Center_Cost,3BR_Center_EUR,3BR_Outside_Cost,3BR_Outside_EUR,Air_Quality_Score,Airport_International,Avg_Temp_Summer_C,Avg_Temp_Winter_C,Bike_Friendly_Score,Bureaucracy_Ease_Score,Cafe_Work_Culture_Score,City,Coffee_Culture_Score,Country,Coworking_Availability,Cultural_Events_Score,Dating_Scene_Score,Digital_Nomad_Visa,English_Proficiency_Score,Expat_Community_Size,Family_Friendly_Score,Fitness_Scene_Score,Flight_Connections_Score,Freelancer_Network_Score,Healthcare_Cost_Score,Healthcare_Quality_Score,International_Schools_Availability,International_Schools_Count,Internet_Avg_Mbps,Internet_Reliability_Score,Monthly_Budget_Family,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Monthly_Budget_Single_EUR,Nightlife_Score,Nomad_Community_Score,Outdoor_Activities_Score,Playground_Parks_Score,Population_Density,Premium_Insights,Public_Transport_Score,Rainfall_Level,Rainy_Days_Year,Region,Restaurant_Diversity_Score,Safety_Score,Singles_Vibe_Score,Startup_Scene_Score,Studio_Center_Cost,Studio_Center_EUR,Studio_Outside_Cost,Studio_Outside_EUR,Summer_Temperature,Sunshine_Hours_Year,Sunshine_Level,Tax_Benefits_Premium,Tax_Level,Tax_Rate_Standard_Pct,Tech_Jobs_Score,Vegan_Friendly_Score,Vibe_Tags,Visa_Duration,Visa_Type_Details,Walkability_Score,Winter_Temperature
Lisbon,General,free,Moderate,900,Moderate,650,Moderate,1400,Moderate,1000,Moderate,1800,Moderate,1300,Good,LIS - Lisbon Portela,26,12,Good,,Excellent,Lisbon,Excellent,Portugal,Abundant,Excellent,Excellent,,Good,Very Large,Good,Good,Excellent,Excellent,Good,Good,Many,25,100-200,Excellent,Moderate,2800,Moderate,1400,Good,Excellent,Good,Good,Medium-High,,Good,Rainy,110,Southern Europe,Excellent,Good,Excellent,Good,Moderate,750,Moderate,550,Warm,2800,Very High Sunshine,,,,Good,Good,"Sunny, Creative, Beach-Adjacent, Startup Hub, Friendly, Historic",,,Excellent,Mild
Barcelona,General,free,Expensive,1100,Expensive,800,Expensive,1700,Expensive,1200,Expensive,2200,Expensive,1600,Good,BCN - El Prat,26,10,Good,,Excellent,Barcelona,Excellent,Spain,Abundant,Excellent,Excellent,,Good,Very Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,35,200-400,Excellent,Moderate,3200,Moderate,1600,Excellent,Excellent,Excellent,Good,Very High,,Excellent,Dry,55,Southern Europe,Excellent,Good,Excellent,Excellent,Expensive,900,Moderate,650,Warm,2640,Very High Sunshine,,,,Good,Excellent,"Beach, Cosmopolitan, Nightlife, Design, Mediterranean, Vibrant",,,Excellent,Mild
Berlin,General,free,Moderate,1000,Moderate,750,Expensive,1550,Expensive,1150,Expensive,2000,Expensive,1500,Average,BER - Brandenburg,23,1,Excellent,,Good,Berlin,Excellent,Germany,Abundant,Excellent,Excellent,,Excellent,Very Large,Average,Good,Excellent,Excellent,Excellent,Excellent,Abundant,40,100-200,Good,Moderate,3000,Moderate,1500,Excellent,Excellent,Good,Average,Very High,,Excellent,Rainy,106,Central Europe,Excellent,Good,Excellent,Excellent,Moderate,800,Moderate,600,Mild,1658,Moderate Sunshine,,,,Excellent,Excellent,"Creative, Alternative, Tech, Nightlife, Liberal, Edgy, Raw",,,Good,Cold
Prague,General,free,Moderate,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Good,PRG - Vaclav Havel,22,0,Good,,Good,Prague,Good,Czech Republic,Many,Good,Good,,Good,Very Large,Good,Good,Good,Excellent,Excellent,Good,Many,30,80-150,Good,Affordable,2400,Affordable,1100,Good,Excellent,Good,Good,High,,Excellent,Moderate,90,Central Europe,Good,Excellent,Good,Good,Moderate,650,Affordable,450,Mild,1885,Good Sunshine,,,,Good,Good,"Historic, Beer Culture, Affordable, Beautiful, Central, Fairy-tale",,,Excellent,Cold
Budapest,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Good,BUD - Ferenc Liszt,26,1,Good,,Good,Budapest,Good,Hungary,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,20,120-200,Good,Affordable,2200,Affordable,1000,Good,Excellent,Good,Good,High,,Good,Moderate,90,Central Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Warm,2047,Good Sunshine,,,,Average,Good,"Thermal Baths, Affordable, Ruin Bars, Beautiful, Party, Historic",,,Good,Cold
Tallinn,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,TLL - Lennart Meri,20,-5,Good,,Good,Tallinn,Good,Estonia,Moderate,Good,Good,,Excellent,Medium,Good,Good,Good,Good,Good,Good,Moderate,15,200-500,Excellent,Moderate,2700,Moderate,1300,Good,Good,Average,Good,Medium,,Good,Moderate,80,Northern Europe,Good,Excellent,Good,Good,Affordable,600,Affordable,450,Mild,1900,Good Sunshine,,,,Good,Average,"Digital, E-Residency, Medieval, Startup, Clean, Nordic, Tech-forward",,,Good,Very Cold
Valencia,General,free,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Good,VLC - Valencia,27,11,Excellent,,Good,Valencia,Excellent,Spain,Many,Good,Good,,Good,Large,Excellent,Good,Good,Good,Good,Good,Many,25,150-300,Good,Affordable,2600,Moderate,1300,Good,Excellent,Excellent,Excellent,Medium-High,,Excellent,Dry,60,Southern Europe,Excellent,Good,Good,Good,Moderate,700,Moderate,500,Warm,2696,Very High Sunshine,,,,Average,Good,"Beach, Paella, Family-Friendly, Sunny, Relaxed, Mediterranean, Affordable",,,Excellent,Mild
Porto,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,OPO - Francisco SÃ¡ Carneiro,24,10,Good,,Excellent,Porto,Excellent,Portugal,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,15,100-200,Good,Affordable,2500,Affordable,1200,Good,Excellent,Good,Good,Medium,,Good,Very Rainy,120,Southern Europe,Good,Good,Good,Average,Affordable,600,Affordable,450,Warm,2538,High Sunshine,,,,Average,Good,"Wine, Charming, Authentic, Riverside, Food Scene, Affordable, Relaxed",,,Good,Mild
Athens,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Average,ATH - Eleftherios Venizelos,30,10,Average,,Good,Athens,Good,Greece,Moderate,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Moderate,20,50-100,Good,Affordable,2400,Affordable,1100,Good,Good,Excellent,Average,High,,Good,Moderate,90,Southern Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Hot,2771,Very High Sunshine,,,,Average,Good,"Ancient, Historic, Mediterranean, Affordable, Sunny, Island-Access, Cultural",,,Good,Mild
Krakow,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Average,KRK - John Paul II,22,-2,Good,,Good,Krakow,Good,Poland,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,18,120-200,Good,Affordable,2100,Affordable,950,Good,Good,Good,Good,Medium,,Good,Rainy,100,Central Europe,Good,Excellent,Good,Average,Affordable,550,Affordable,400,Mild,1580,Moderate Sunshine,,,,Average,Good,"Medieval, Beer, Historic, Affordable, Students, Beautiful, Authentic",,,Excellent,Cold
