city,Country,Region,data_type,tier,Monthly_Budget_Single_EUR,Monthly_Budget_Single,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Studio_Center_EUR,Studio_Center_Cost,Studio_Outside_EUR,Studio_Outside_Cost,1BR_Center_EUR,1BR_Center_Cost,1BR_Outside_EUR,1BR_Outside_Cost,2BR_Center_EUR,2BR_Center_Cost,2BR_Outside_EUR,2BR_Outside_Cost,3BR_Center_EUR,3BR_Center_Cost,3BR_Outside_EUR,3BR_Outside_Cost,Internet_Avg_Mbps,Internet_Reliability_Score,Coworking_Availability,Cafe_Work_Culture_Score,Public_Transport_Score,Bike_Friendly_Score,Walkability_Score,Airport_International,Flight_Connections_Score,Avg_Temp_Winter_C,Winter_Temperature,Avg_Temp_Summer_C,Summer_Temperature,Rainy_Days_Year,Rainfall_Level,Sunshine_Hours_Year,Sunshine_Level,Air_Quality_Score,Population_Density,Expat_Community_Size,Nomad_Community_Score,English_Proficiency_Score,Singles_Vibe_Score,Nightlife_Score,Dating_Scene_Score,Family_Friendly_Score,International_Schools_Count,International_Schools_Availability,Playground_Parks_Score,Healthcare_Quality_Score,Healthcare_Cost_Score,Safety_Score,Coffee_Culture_Score,Restaurant_Diversity_Score,Vegan_Friendly_Score,Fitness_Scene_Score,Outdoor_Activities_Score,Cultural_Events_Score,Startup_Scene_Score,Tech_Jobs_Score,Freelancer_Network_Score,Bureaucracy_Ease_Score,Digital_Nomad_Visa,Visa_Type_Details,Visa_Duration,Tax_Rate_Standard_Pct,Tax_Level,Tax_Benefits_Premium,Vibe_Tags,Premium_Insights
Lisbon,Portugal,Southern Europe,General,free,1400,Moderate,2800,Moderate,750,Moderate,550,Moderate,900,Moderate,650,Moderate,1400,Moderate,1000,Moderate,1800,Moderate,1300,Moderate,100-200,Excellent,Abundant,Excellent,Good,Good,Excellent,LIS - Lisbon Portela,Excellent,12,Mild,26,Warm,110,Rainy,2800,Very High Sunshine,Good,Medium-High,Very Large,Excellent,Good,Excellent,Good,Excellent,Good,25,Many,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,,,,,,,,"Sunny, Creative, Beach-Adjacent, Startup Hub, Friendly, Historic",
Lisbon,Portugal,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,D7/D8 Visa,Long-term (2 years),28,Moderate Tax,NHR regime (0-20% for specific income),,"Tax: NHR status gives huge breaks | Community: Largest nomad hub | Visa: D7 passive income €760/mo, D8 remote work | Cowork: SecondHome, Selina | Events: WebSummit annual | Best for: Solo entrepreneurs, lifestyle balance"
Lisbon,Portugal,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,28,Moderate Tax,NHR regime (0-20% for specific income),,
Barcelona,Spain,Southern Europe,General,free,1600,Moderate,3200,Moderate,900,Expensive,650,Moderate,1100,Expensive,800,Expensive,1700,Expensive,1200,Expensive,2200,Expensive,1600,Expensive,200-400,Excellent,Abundant,Excellent,Excellent,Good,Excellent,BCN - El Prat,Excellent,10,Mild,26,Warm,55,Dry,2640,Very High Sunshine,Good,Very High,Very Large,Excellent,Good,Excellent,Excellent,Excellent,Good,35,Many,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,,,,,,,"Beach, Cosmopolitan, Nightlife, Design, Mediterranean, Vibrant",
Barcelona,Spain,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,,,,,,,,,,,,,,,,,,Average,Yes,Non-Lucrative Visa / Digital Nomad,Short-term (1 year),24,Moderate Tax,Beckham Law (24% flat for new residents),,"Tax: Beckham law for new residents | Community: Huge expat scene | Visa: New DN visa €2000+/mo income | Cowork: Betahaus, MOB | Cons: Pickpockets, crowds | Best for: Social butterflies, beach lovers"
Barcelona,Spain,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,,,,,,,,,,,,,,,,,,,,,,24,Moderate Tax,Beckham Law (24% flat for new residents),,
Berlin,Germany,Central Europe,General,free,1500,Moderate,3000,Moderate,800,Moderate,600,Moderate,1000,Moderate,750,Moderate,1550,Expensive,1150,Expensive,2000,Expensive,1500,Expensive,100-200,Good,Abundant,Good,Excellent,Excellent,Good,BER - Brandenburg,Excellent,1,Cold,23,Mild,106,Rainy,1658,Moderate Sunshine,Average,Very High,Very Large,Excellent,Excellent,Excellent,Excellent,Excellent,Average,40,Abundant,Average,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,,,,,,,,"Creative, Alternative, Tech, Nightlife, Liberal, Edgy, Raw",
Berlin,Germany,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,,,,,,,,,,,,,,,,,,Average,No,Freelance Visa (Freiberufler),Long-term (3 years),42,Very High Tax,Freelancer (Freiberufler) friendly tax,,"Tax: Freelancers get Künstlersozialkasse benefits | Visa: Freiberufler for creatives/IT | Community: Massive startup scene | Cowork: Factory, Betahaus | Culture: Best club scene in Europe | Best for: Creatives, tech workers, night owls"
Berlin,Germany,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,,,,,,,,,,,,,,,,,,,,,,42,Very High Tax,Freelancer (Freiberufler) friendly tax,,
Prague,Czech Republic,Central Europe,General,free,1100,Affordable,2400,Affordable,650,Moderate,450,Affordable,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Moderate,80-150,Good,Many,Good,Excellent,Good,Excellent,PRG - Vaclav Havel,Good,0,Cold,22,Mild,90,Moderate,1885,Good Sunshine,Good,High,Very Large,Excellent,Good,Good,Good,Good,Good,30,Many,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,,,,,,,,"Historic, Beer Culture, Affordable, Beautiful, Central, Fairy-tale",
Prague,Czech Republic,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,Zivno (Trade License),Long-term (3 years),15,Low Tax,Low corporate tax (19% sole trader),,"Tax: Zivno license easy for freelancers | Visa: Zivno widely used by nomads | Cost: Very affordable for quality | Beer: Cheapest in Europe | Healthcare: Good and cheap | Best for: History lovers, budget conscious, central Europe base"
Prague,Czech Republic,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,15,Low Tax,Low corporate tax (19% sole trader),,
Budapest,Hungary,Central Europe,General,free,1000,Affordable,2200,Affordable,550,Affordable,400,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Affordable,120-200,Good,Moderate,Good,Good,Good,Good,BUD - Ferenc Liszt,Good,1,Cold,26,Warm,90,Moderate,2047,Good Sunshine,Good,High,Large,Excellent,Good,Good,Good,Good,Good,20,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,,,,,,,,"Thermal Baths, Affordable, Ruin Bars, Beautiful, Party, Historic",
