city_name,country,region,cost_of_living_index,internet_speed_mbps,digital_nomad_visa,coworking_spaces,average_temperature_c,english_proficiency,safety_index,population_millions,monthly_rent_1bed_center,beer_pint_eur,coffee_eur
Lisbon,Portugal,Southern Europe,45.3,180,yes,45,17.5,high,68,2.9,1200,3.50,2.20
Barcelona,Spain,Southern Europe,52.1,250,yes,78,18.0,high,55,5.6,1400,4.00,2.50
Madrid,Spain,Southern Europe,48.7,220,yes,65,15.5,high,65,6.5,1250,3.80,2.30
Valencia,Spain,Southern Europe,38.2,200,yes,28,18.5,medium,75,0.8,850,2.80,1.80
Seville,Spain,Southern Europe,36.5,150,no,15,19.0,medium,70,0.7,750,2.50,1.70
Berlin,Germany,Central Europe,58.9,200,yes,120,10.5,high,70,3.7,1300,4.00,3.00
Munich,Germany,Central Europe,65.4,190,yes,85,9.5,high,85,1.5,1500,4.50,3.20
Hamburg,Germany,Central Europe,55.2,180,yes,60,9.8,high,75,1.8,1100,3.80,2.80
Prague,Czech Republic,Central Europe,42.1,150,yes,55,9.0,medium,70,1.3,850,2.20,2.00
Budapest,Hungary,Central Europe,38.7,120,yes,32,11.5,medium,65,1.8,600,1.80,1.50
Warsaw,Poland,Central Europe,36.2,150,yes,40,8.5,medium,70,1.8,700,2.50,2.20
Krakow,Poland,Central Europe,33.5,140,yes,25,9.0,medium,75,0.8,550,2.20,1.80
Vienna,Austria,Central Europe,62.3,200,yes,95,10.5,high,80,1.9,1350,4.20,3.10
Amsterdam,Netherlands,Western Europe,68.7,250,yes,150,11.0,high,70,1.1,1800,5.00,3.50
Rotterdam,Netherlands,Western Europe,55.8,230,yes,45,11.5,high,65,0.6,1300,4.50,3.00
Brussels,Belgium,Western Europe,58.4,170,yes,60,10.5,high,60,1.2,1150,4.00,2.80
Paris,France,Western Europe,75.2,220,yes,200,12.5,medium,55,2.1,1600,6.00,3.80
Lyon,France,Western Europe,52.3,180,yes,35,13.0,medium,70,0.5,950,4.50,2.50
Milan,Italy,Southern Europe,58.9,150,no,85,13.5,medium,55,1.4,1200,5.00,1.80
Rome,Italy,Southern Europe,54.2,140,no,70,16.0,low,50,2.8,1100,4.50,1.50
Florence,Italy,Southern Europe,52.1,130,no,25,15.5,low,60,0.4,950,4.00,1.60
Bologna,Italy,Southern Europe,47.8,140,no,20,14.5,low,70,0.4,850,3.80,1.40
Athens,Greece,Southern Europe,44.2,80,yes,40,18.5,medium,50,3.2,550,3.50,2.50
Thessaloniki,Greece,Southern Europe,39.5,70,yes,15,16.0,medium,55,0.8,450,3.00,2.20
Dubrovnik,Croatia,Southern Europe,48.7,90,yes,12,16.5,medium,75,0.04,700,3.80,2.10
Zagreb,Croatia,Southern Europe,41.2,100,yes,20,12.5,medium,70,0.8,550,3.00,1.90
Split,Croatia,Southern Europe,45.1,85,yes,10,16.0,medium,65,0.2,600,3.20,2.00
Stockholm,Sweden,Northern Europe,72.4,180,yes,85,7.0,high,75,0.9,1400,6.50,4.00
Gothenburg,Sweden,Northern Europe,65.8,170,yes,30,7.5,high,70,0.6,1150,6.00,3.80
Copenhagen,Denmark,Northern Europe,81.2,200,yes,70,8.5,high,80,0.6,1600,5.50,4.50
Oslo,Norway,Northern Europe,85.7,190,yes,55,6.0,high,75,0.7,1500,7.00,4.20
Helsinki,Finland,Northern Europe,70.3,160,yes,45,6.0,high,80,0.7,1200,5.50,3.50
Reykjavik,Iceland,Northern Europe,88.5,200,yes,25,5.0,high,85,0.1,1700,8.00,5.00
Dublin,Ireland,Western Europe,63.8,150,yes,85,9.5,high,60,1.2,1500,5.00,3.20
Cork,Ireland,Western Europe,52.1,140,yes,15,10.0,high,70,0.2,1100,4.80,3.00
Edinburgh,UK,Northern Europe,58.4,160,no,45,8.5,high,70,0.5,1200,4.50,3.00
Glasgow,UK,Northern Europe,52.3,150,no,30,8.5,high,65,0.6,950,4.00,2.80
Manchester,UK,Northern Europe,51.8,170,no,50,9.5,high,55,0.5,1000,4.20,2.90
Bristol,UK,Northern Europe,55.2,160,no,25,10.5,high,60,0.5,1100,4.30,3.00
